Date,Open,High,Low,Close,Adj Close,Volume,Return_%,Vol_Change_%,SMA_10,SMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Holdings,Cash,Unrealized_PnL
2010-04-23,96.73332977294922,98.0,96.33333587646484,0.03997841311553764,80.78924560546875,1374798.0,0.31397872386685616,0.05815265348624876,0.04050405115085237,0.04272111373069376,0.20781469071778136,0.4260278649214264,0.5459109303230087,0.4145738360477659,0.0,0.0,0.0
2010-04-26,96.93333435058594,99.5999984741211,96.86666870117188,0.04413271401997708,82.93728637695312,2526394.0,0.3986062985331606,0.13560571654478723,0.04003281548581014,0.04262333232798171,0.37943356264537476,0.4303731327026716,0.5569927034677367,0.4137429948464795,0.0,0.0,0.0
2010-04-27,99.0,103.6999969482422,98.56666564941406,0.0448880425797505,83.32784271240234,4116252.0,0.3230688993426359,0.12023106159621501,0.03983323400849545,0.04254301187100873,0.406236805433546,0.435059282068145,0.5664518607872291,0.4141240898145497,0.0,0.0,0.0
2010-04-28,98.0,99.16666412353516,96.66666412353516,0.040733741675311005,81.17977905273438,1174197.0,0.2178124904344778,0.021050131829517295,0.039328735186870106,0.0423951759880864,0.28901959715578784,0.4344161907310777,0.564736851820972,0.41428545258800936,0.0,0.0,0.0
2010-04-29,98.26666259765624,100.26666259765624,97.5,0.04310762967050906,82.40724182128906,4235635.0,0.3590131833739951,0.2661910014806866,0.03900164240483742,0.0423160198428334,0.37148940867863955,0.4369753399861154,0.5689424252105914,0.41498564628811613,0.0,0.0,0.0
2010-04-30,100.16666412353516,114.86666870117188,100.16666412353516,0.0673860212018789,94.96083068847656,20411595.0,0.8327435351833372,0.35561021082033556,0.04127465903186667,0.042758363712746134,0.7819346313386486,0.46674411139189265,0.6196999061700545,0.422189043705264,0.0,0.0,0.0
2010-05-03,112.66666412353516,118.53333282470705,111.06666564941406,0.0693282875849371,95.96511840820312,12367054.0,0.34332345714931456,0.04471004662790694,0.04427393266446608,0.04327055136561525,0.7987967742837081,0.49227451392649474,0.6529236087033095,0.4336491635153274,0.0,0.0,0.0
2010-05-04,116.66666412353516,117.33333587646484,110.86666870117188,0.06414890233102959,93.28700256347656,3091543.0,0.21046363867508944,0.01844696155361228,0.046801971900931355,0.04353362959698873,0.680925275716418,0.5061530574330214,0.6592076614112102,0.44591441537992943,0.0,0.0,0.0
2010-05-05,109.33333587646484,115.8000030517578,108.23332977294922,0.06765577699157353,95.10031127929688,5416722.0,0.37391914057324094,0.12929361070842216,0.04966264650995175,0.043833957810414576,0.717479556903331,0.5205511694328516,0.6651398746582007,0.45893972055113513,0.0,0.0,0.0
2010-05-06,113.0,116.53333282470705,111.53333282470705,0.06927433642699819,95.93721771240234,2299740.0,0.33719351624584887,0.03132982725720287,0.0527062710179953,0.044205293852083855,0.7337566499796953,0.5330603856381158,0.666595614989307,0.4721515396263672,0.0,0.0,0.0
2010-05-07,113.0,113.1999969482422,109.36666870117188,0.06199081896758722,92.17113494873048,2607150.0,0.17128295276243446,0.08365715437708365,0.05496819992616353,0.04442064542738838,0.5842359440001448,0.5338968099966488,0.647428837688641,0.48290765256667634,0.0,0.0,0.0
2010-05-10,111.93333435058594,115.66666412353516,110.83333587646484,0.06922038526905926,95.90930938720705,2067420.0,0.4468319698002809,0.058516521669438805,0.057546133897503404,0.044701184604500954,0.6645716147940177,0.541963441279855,0.6446888048977127,0.49331270412462475,0.0,0.0,0.0
2010-05-11,115.0,117.3000030517578,113.06666564941406,0.07197194371845826,97.33206939697266,2550915.0,0.3580256638020324,0.09105065672232114,0.060329194474496584,0.04515400514843032,0.6916442516239799,0.5505472227763711,0.6433975376475481,0.5035523145727656,0.0,0.0,0.0
2010-05-12,116.5,118.1999969482422,111.63333129882812,0.06733207004394,94.93292999267578,2473800.0,0.22171186352611855,0.07156231905728919,0.06306235904770707,0.04558121642961102,0.6058404226860222,0.5510935244038595,0.6283650474806172,0.5118659163994771,0.0,0.0,0.0
2010-05-13,114.5999984741211,115.86666870117188,111.6999969482422,0.06884272716348681,95.71401977539062,2128762.0,0.33521805008553,0.06350067360521706,0.06570682060112124,0.04605033387399238,0.6228543736239707,0.55228030124575,0.6174546186546825,0.5187816407122908,0.0,0.0,0.0
2010-05-14,114.36666870117188,117.13333129882812,112.13333129882812,0.06673859495798336,94.62605285644533,3537130.0,0.2675671480322055,0.12261390411080594,0.06564029301904697,0.04643447468025244,0.5837715428421747,0.5498742988182421,0.6024684647760333,0.5237772931506627,0.0,0.0,0.0
2010-05-17,111.33333587646484,115.03333282470705,110.8000030517578,0.06911248295318144,95.853515625,1447492.0,0.3515953181722351,0.030198193161072695,0.06561811758132491,0.04680231858606049,0.6131069693416649,0.5497364880099747,0.5944302196824349,0.5277430610403328,0.0,0.0,0.0
2010-05-18,115.0,116.53333282470705,114.0,0.06949014105875385,96.0488052368164,955750.0,0.313844522513865,0.04872411312482014,0.06616696727839436,0.047178310808878104,0.6178495685029552,0.5491236025272321,0.5871721507197661,0.5307789029335913,0.0,0.0,0.0
2010-05-19,114.0,114.5,107.76666259765624,0.06112758809193598,91.72478485107422,1321930.0,0.15138556125071287,0.1020657333191943,0.0654961501360374,0.04718529508060057,0.465686804995889,0.5382779039003894,0.5635424439694025,0.5307872345196641,0.0,0.0,0.0
2010-05-20,108.66666412353516,112.13333129882812,108.66666412353516,0.06323172029743944,92.81277465820312,633730.0,0.34776184817517586,0.03537623549316697,0.0648752289974632,0.047314506238929604,0.4964887269064858,0.5313553972636015,0.5514719937925601,0.5292490631080984,0.0,0.0,0.0
