Ticker,DQN_CumReturn,DQN_AnnReturn,DQN_AnnVol,DQN_Sharpe,DQN_MaxDD,DQN_TotalTrades,DQN_WinRate,LSTM_CumReturn,LSTM_AnnReturn,LSTM_AnnVol,LSTM_Sharpe,LSTM_MaxDD,LSTM_TotalTrades,LSTM_WinRate,ARIMA_CumReturn,ARIMA_AnnReturn,ARIMA_AnnVol,ARIMA_Sharpe,ARIMA_MaxDD,ARIMA_TotalTrades,ARIMA_WinRate
ONGC.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
PIDILITIND.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
POWERGRID.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
RELIANCE.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
SBILIFE.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
SBIN.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
SIEMENS.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
SRF.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
SUNPHARMA.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
TATACONSUM.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
TATAELXSI.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
TATAMOTORS.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
TATASTEEL.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
TCS.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
TITAN.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
TORNTPHARM.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
TVSMOTOR.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
ULTRACEMCO.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
VEDL.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
WIPRO.NS,-0.002895943651625821,-0.025763610492779088,0.0,,-0.0027962232739532356,0,,,,,,,,,,,,,,,
