Ticker,CumulativeReturn,AnnualizedReturn,AnnualizedVolatility,Sharpe,MaxDrawdown,TotalTrades,WinRate
ADANIPORTS_NS,-0.005696426380419006,-0.00634968267459568,0.3537890305041767,-0.01794765277359474,-0.27387728356673213,5,0.5053763440860215
ASIANPAINT_NS,0.012056175575260175,0.013452459052223809,0.2200844534924298,0.06112407686573159,-0.17914495832596766,5,0.4968553459119497
AXISBANK_NS,0.08806664134445086,0.0986832399368569,0.17946975625322015,0.5498599986820134,-0.11048745610046506,1,0.5
BAJAJ-AUTO_NS,0.019218202755303615,0.021452702659185308,0.04489053003602511,0.4778892706762271,-0.02195647913358889,2,0.0
BAJAJFINSV_NS,0.1365413873963126,0.15340019143328454,0.31332256344566667,0.4895919072865804,-0.3063277148451574,1,0.5446428571428571
BAJFINANCE_NS,0.23295677905365153,0.2630218973671343,0.3587416072435531,0.7331792355732137,-0.3551328944698262,1,0.5251141552511416
BHARTIARTL_NS,-0.022347637863235792,-0.024886359175049333,2.8609971208962796e-16,-86984915130753.62,-0.022347637863235792,0,
BPCL_NS,0.5409838264941367,0.6195828506573358,0.43039969174081566,1.4395522639696618,-0.2254183225634997,1,0.56
BRITANNIA_NS,-0.022249862849520796,-0.024886359175049333,2.867300187302004e-16,-86793699819990.73,-0.022249862849520796,0,
CIPLA_NS,-0.07185704911740698,-0.07978533998704918,0.27803785214090315,-0.28695855392601655,-0.21823350313232015,2,0.4411764705882353
COALINDIA_NS,-1.000696072680747,,10.543049512749414,,-1.0009220927295057,3,0.4503311258278146
DIVISLAB_NS,0.0336229133811925,0.037562838130612786,0.2786086072478186,0.13482296366099394,-0.17475116018413517,1,0.4855072463768116
DRREDDY_NS,-0.11920658164058451,-0.13197518975336864,0.2923204102035522,-0.451474427192648,-0.21197982793135572,5,0.4791666666666667
EICHERMOT_NS,-0.022347637863235792,-0.024886359175049333,2.8609971208962796e-16,-86984915130753.62,-0.022347637863235792,0,
GRASIM_NS,-0.007251495760061899,-0.008082358660868927,0.2004932216027858,-0.04031237862435857,-0.155155461621039,3,0.5
HCLTECH_NS,0.04342676914386745,0.04810632081008692,0.1594785472746082,0.3016475985779581,-0.09525683779109273,3,0.5591397849462365
HDFCBANK_NS,-0.06742878608506775,-0.0748884675147582,0.1344994185687749,-0.556793987004968,-0.1704991856243775,3,0.4716981132075472
HDFCLIFE_NS,1.2901420206731258,463.7458816967446,1.1327243206415734,409.4075436060909,-0.14405738509227017,1,0.5555555555555556
HEROMOTOCO_NS,-0.022347637863235792,-0.024886359175049333,2.8609971208962796e-16,-86984915130753.62,-0.022347637863235792,0,
HINDALCO_NS,-0.022347637863235792,-0.024886359175049333,2.8609971208962796e-16,-86984915130753.62,-0.022347637863235792,0,
HINDUNILVR_NS,-0.022347637863235792,-0.024886359175049333,2.8609971208962796e-16,-86984915130753.62,-0.022347637863235792,0,
ICICIBANK_NS,0.8109799988666042,0.9390327134567664,0.45557605190693573,2.061198584794335,-0.19190680830216866,1,0.4642857142857143
INDUSINDBK_NS,-0.16945596599617685,-0.18700888155518525,0.15309956015338874,-1.2214854266584643,-0.1961929374199063,1,0.4090909090909091
INFY_NS,-0.005012509076270932,-0.005587555497849284,0.37839297912793957,-0.014766541151811537,-0.2793839654560407,1,0.5225225225225225
ITC_NS,-0.16456075912502222,-0.18166405950933762,0.30146260619205184,-0.6026089331743038,-0.279534819496866,1,0.46875
JSWSTEEL_NS,-0.40123671755492807,-0.4369774624684636,0.3691482627273344,-1.183745141423651,-0.4855973557980948,1,0.46153846153846156
KOTAKBANK_NS,0.16049469799425653,0.1805380363766973,0.16414090171788576,1.0998967014753813,-0.06860811103208753,3,0.5172413793103449
LT_NS,-0.10093690058550953,-0.11187519821286573,0.14178635147951646,-0.7890406731357925,-0.1836645315698412,4,0.4406779661016949
M&M_NS,-0.19028834504825698,-0.20971392569230218,0.13878095014722153,-1.5111146412373857,-0.1956211066738952,2,0.47368421052631576
MARUTI_NS,-0.022347637863235792,-0.024886359175049333,2.8609971208962796e-16,-86984915130753.62,-0.022347637863235792,0,
NESTLEIND_NS,-0.03576124737894959,-0.039792466845426144,0.022067909333730915,-1.803182451207698,-0.03576124737894959,4,0.0
NTPC_NS,0.12132748307714736,0.13619768689919742,0.9427346429608184,0.14447086241728152,-0.7181831933488005,1,0.48660714285714285
ONGC_NS,0.44385427158446267,0.506175598155751,1.7882383765919323,0.28305823473066977,-0.8713753007593225,1,0.50625
POWERGRID_NS,0.0997254985688365,0.1118182934965859,0.3541994571853439,0.31569301202535194,-0.24538889585739476,1,0.5
RELIANCE_NS,0.058429402601611446,0.06536666831005222,0.4014515880394091,0.16282578088503016,-0.310346966026672,1,0.5
SBILIFE_NS,-0.0036933477633994682,-0.024886359175049777,0.0,,-0.0036933477633994682,0,
SBIN_NS,0.6016612431998474,0.6908510252450082,0.634471264608606,1.0888610151181264,-0.42691309670071365,1,0.5133928571428571
SUNPHARMA_NS,-0.31822734674257824,-0.34761980617442656,0.4568896462082127,-0.7608397543244174,-0.394915681646009,5,0.48226950354609927
TATACONSUM_NS,-0.20336812966634987,-0.22393528022192533,0.40008208444703924,-0.5597233391028503,-0.4391285659272034,5,0.5069444444444444
TATAMOTORS_NS,-0.8528142056132011,-0.8819316064770066,1.68555426112317,-0.5232294366420046,-0.9088011417705764,5,0.4694835680751174
TATASTEEL_NS,-0.15655160596827988,-0.17291151743044708,0.26648147342062495,-0.6488688133209045,-0.25673236750848094,1,0.42105263157894735
