Date,Adj Close,Close,High,Low,Open,Volume
,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS
1751846400000000000,162.39999389648438,162.39999389648438,163.35000610351562,160.0500030517578,163.0,17469909
1751932800000000000,161.97000122070312,161.97000122070312,162.89999389648438,161.60000610351562,162.4499969482422,11398248
1752019200000000000,159.0,159.0,161.9499969482422,157.50999450683594,161.9499969482422,29839077
1752105600000000000,160.66000366210938,160.66000366210938,161.5500030517578,159.27999877929688,160.0,17566887
1752192000000000000,159.83999633789062,159.83999633789062,161.6199951171875,159.32000732421875,160.63999938964844,20689511
1752451200000000000,160.44000244140625,160.44000244140625,161.1199951171875,159.3000030517578,159.83999633789062,15152964
1752537600000000000,159.0,159.0,160.85000610351562,157.9499969482422,160.25999450683594,17993051
1752624000000000000,157.3300018310547,157.3300018310547,159.27000427246094,157.0,159.0,14591157
1752710400000000000,159.89999389648438,159.89999389648438,160.6999969482422,157.1199951171875,157.5,21733241
1752796800000000000,162.3699951171875,162.3699951171875,162.75,160.10000610351562,160.10000610351562,30728478
1753056000000000000,163.02000427246094,163.02000427246094,165.60000610351562,162.49000549316406,162.5,29812899
1753142400000000000,163.0399932861328,163.0399932861328,164.41000366210938,162.72999572753906,163.3000030517578,13615524
1753228800000000000,162.77000427246094,162.77000427246094,164.13999938964844,161.8800048828125,163.25,14287149
1753315200000000000,163.47999572753906,163.47999572753906,164.75,162.80999755859375,163.0,14377270
1753401600000000000,161.42999267578125,161.42999267578125,163.58999633789062,161.0500030517578,163.5,12443495
1753660800000000000,159.67999267578125,159.67999267578125,162.2899932861328,159.08999633789062,161.22999572753906,19296285
1753747200000000000,161.69000244140625,161.69000244140625,162.4499969482422,158.1999969482422,158.1999969482422,15262937
1753833600000000000,161.36000061035156,161.36000061035156,162.7899932861328,161.0500030517578,161.69000244140625,16083106
1753920000000000000,157.94000244140625,157.94000244140625,162.1300048828125,156.55999755859375,161.0,26213891
1754006400000000000,153.00999450683594,153.00999450683594,157.92999267578125,152.50999450683594,157.92999267578125,23927359
1754265600000000000,159.55999755859375,159.55999755859375,159.9199981689453,153.5,153.5,30064719
1754352000000000000,159.6199951171875,159.6199951171875,160.13999938964844,158.27999877929688,159.55999755859375,14441034
1754438400000000000,158.66000366210938,158.66000366210938,159.8000030517578,157.8000030517578,159.6199951171875,13438851
1754524800000000000,159.6699981689453,159.6699981689453,160.0,156.25999450683594,157.14999389648438,23159540
1754611200000000000,157.9499969482422,157.9499969482422,159.9499969482422,157.00999450683594,159.5,11951173
1754870400000000000,158.52000427246094,158.52000427246094,160.0,157.14999389648438,157.9499969482422,14325736
1754956800000000000,160.16000366210938,160.16000366210938,161.64999389648438,158.5,158.52000427246094,20056598
1755043200000000000,160.17999267578125,160.17999267578125,162.39999389648438,159.89999389648438,160.9600067138672,18079396
1755129600000000000,155.3000030517578,155.3000030517578,160.60000610351562,154.8300018310547,160.02000427246094,47256126
