Date,Adj Close,Close,High,Low,Open,Volume
,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS
1751846400000000000,5609.7607421875,5682.5,5700.0,5625.0,5630.0,227078
1751932800000000000,5606.79931640625,5679.5,5705.0,5648.5,5705.0,180630
1752019200000000000,5622.1005859375,5695.0,5718.5,5669.5,5671.0,177978
1752105600000000000,5579.6513671875,5652.0,5705.0,5635.0,5692.0,189074
1752192000000000000,5540.65673828125,5612.5,5683.5,5589.0,5632.0,522930
1752451200000000000,5469.57861328125,5540.5,5615.5,5520.5,5606.5,503684
1752537600000000000,5519.43212890625,5591.0,5642.5,5568.5,5590.0,715066
1752624000000000000,5554.4775390625,5626.5,5633.5,5540.0,5600.0,226544
1752710400000000000,5577.6767578125,5650.0,5683.0,5628.0,5668.0,391603
1752796800000000000,5555.46484375,5627.5,5681.5,5611.5,5664.0,254828
1753056000000000000,5486.8544921875,5558.0,5627.0,5540.5,5597.0,190717
1753142400000000000,5369.87109375,5439.5,5539.0,5433.5,5470.0,517944
1753228800000000000,5371.845703125,5441.5,5462.0,5422.0,5432.0,344237
1753315200000000000,5398.99365234375,5469.0,5502.0,5434.0,5440.0,284450
1753401600000000000,5363.45458984375,5433.0,5480.0,5372.5,5480.0,292877
1753660800000000000,5317.05615234375,5386.0,5456.0,5357.0,5433.0,322292
1753747200000000000,5400.474609375,5470.5,5484.0,5353.0,5390.0,217256
1753833600000000000,5410.83984375,5481.0,5556.5,5440.0,5465.0,266223
1753920000000000000,5398.5,5468.5,5510.0,5386.5,5450.0,307018
1754006400000000000,5528.0,5528.0,5670.0,5475.0,5551.0,1408773
1754265600000000000,5621.0,5621.0,5670.0,5520.0,5527.5,505407
1754352000000000000,5681.0,5681.0,5690.0,5584.5,5625.0,458305
1754438400000000000,5668.0,5668.0,5712.5,5651.0,5684.5,202535
1754524800000000000,5681.5,5681.5,5694.5,5588.0,5660.0,266900
1754611200000000000,5663.0,5663.0,5711.5,5655.5,5681.5,373874
1754870400000000000,5671.5,5671.5,5708.5,5652.5,5677.0,475811
1754956800000000000,5658.0,5658.0,5694.0,5643.0,5679.5,429572
1755043200000000000,5714.5,5714.5,5757.5,5648.5,5658.0,427562
1755129600000000000,5764.0,5764.0,5785.5,5710.0,5710.0,415010
