Date,Adj Close,Close,High,Low,Open,Volume
,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS
1751846400000000000,2769.02685546875,2779.10009765625,2819.89990234375,2775.0,2810.0,278677
1751932800000000000,2810.57568359375,2820.800048828125,2841.300048828125,2778.199951171875,2780.0,846061
1752019200000000000,2787.758544921875,2797.89990234375,2830.0,2793.60009765625,2813.0,659109
1752105600000000000,2765.04150390625,2775.10009765625,2809.800048828125,2769.0,2797.89990234375,780215
1752192000000000000,2751.98876953125,2762.0,2807.5,2756.39990234375,2775.10009765625,476850
1752451200000000000,2774.3076171875,2784.39990234375,2809.0,2755.10009765625,2774.0,2913912
1752537600000000000,2768.52880859375,2778.60009765625,2812.10009765625,2762.800048828125,2789.0,450965
1752624000000000000,2752.38720703125,2762.39990234375,2784.0,2758.0,2784.0,372782
1752710400000000000,2756.273193359375,2766.300048828125,2777.699951171875,2742.300048828125,2762.0,720281
1752796800000000000,2718.6103515625,2728.5,2774.0,2716.5,2771.0,797380
1753056000000000000,2731.961669921875,2741.89990234375,2751.5,2713.199951171875,2728.0,616378
1753142400000000000,2712.831298828125,2722.699951171875,2759.0,2717.5,2752.89990234375,664321
1753228800000000000,2699.28076171875,2709.10009765625,2736.0,2701.5,2735.60009765625,373864
1753315200000000000,2725.9833984375,2735.89990234375,2743.300048828125,2667.300048828125,2709.10009765625,997645
1753401600000000000,2698.782470703125,2708.60009765625,2735.89990234375,2694.199951171875,2735.0,360857
1753660800000000000,2717.31494140625,2727.199951171875,2754.5,2697.0,2704.10009765625,547126
1753747200000000000,2733.0576171875,2743.0,2750.0,2705.0,2727.199951171875,743512
1753833600000000000,2748.601318359375,2758.60009765625,2794.0,2733.10009765625,2740.0,772901
1753920000000000000,2736.4453125,2746.39990234375,2771.800048828125,2727.699951171875,2735.0,581498
1754006400000000000,2712.3330078125,2722.199951171875,2766.5,2716.0,2748.0,329586
1754265600000000000,2777.6953125,2787.800048828125,2792.300048828125,2720.800048828125,2730.0,570201
1754352000000000000,2787.061279296875,2797.199951171875,2824.89990234375,2784.699951171875,2799.0,782631
1754438400000000000,2755.775146484375,2765.800048828125,2800.0,2758.0,2800.0,393906
1754524800000000000,2733.755126953125,2743.699951171875,2772.699951171875,2718.800048828125,2764.0,591589
1754611200000000000,2681.843994140625,2691.60009765625,2748.89990234375,2672.60009765625,2743.699951171875,1162918
1754870400000000000,2748.89990234375,2758.89990234375,2795.0,2720.0,2726.0,1236332
1754956800000000000,2740.39990234375,2740.39990234375,2761.89990234375,2705.10009765625,2757.0,553341
1755043200000000000,2745.89990234375,2745.89990234375,2766.0,2725.5,2760.0,479944
1755129600000000000,2764.89990234375,2764.89990234375,2770.0,2731.10009765625,2745.89990234375,618912
