Price,Open,High,Low,Close,Volume,Adj Close
Ticker,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,
Date,,,,,,
2025-07-04,382.0811816650888,382.27826507445644,377.8434823471999,380.5043640136719,3990767,380.5043640136719
2025-07-07,380.8985436066607,380.8985436066607,378.43477553675996,378.68115234375,2810768,378.68115234375
2025-07-08,379.3710238546129,379.9130408061901,376.7594056098473,377.30145263671875,5231160,377.30145263671875
2025-07-09,377.49855224961107,382.52464540166693,377.30146883843554,381.8348083496094,4497121,381.8348083496094
2025-07-10,382.42606822305004,383.2144920515082,377.0057784629871,378.4840393066406,4668066,378.4840393066406
2025-07-11,378.4840339020606,378.7304107058181,375.08405205538406,375.4289855957031,4677164,375.4289855957031
2025-07-14,376.4637623939646,380.3072345813573,375.97100877826574,378.2869567871094,5109504,378.2869567871094
2025-07-15,378.33621224867477,381.63766742024166,377.8927520489467,380.8492736816406,4586811,380.8492736816406
2025-07-16,381.04635707864423,382.37679782841514,379.37101286529366,380.8492736816406,5205724,380.8492736816406
2025-07-17,381.4405783264694,382.57393575167157,379.32174370267904,380.3072509765625,3749218,380.3072509765625
2025-07-18,381.39130699128253,383.60869831099933,378.53334197203986,382.86956787109375,5172481,382.86956787109375
2025-07-21,383.3623112789911,383.75650815470766,379.81447924695453,381.1941833496094,4396850,381.1941833496094
2025-07-22,381.1941917477717,386.0724646587079,379.9130443546442,383.46087646484375,5043629,383.46087646484375
2025-07-23,383.7565038236679,386.76231887708263,383.21448688508656,385.0869445800781,3670943,385.0869445800781
2025-07-24,384.4463868541827,385.08696055597954,378.33622983251763,379.9623107910156,4022204,379.9623107910156
2025-07-25,379.9623180054788,380.3072515669325,374.4927646570531,375.2811584472656,4616856,375.2811584472656
2025-07-28,375.67537033842024,378.2869584983798,371.5362279177075,372.8666687011719,4521716,372.8666687011719
2025-07-29,371.48696333713934,378.6811541045845,371.48696333713934,378.08984375,4872086,378.08984375
2025-07-30,378.4347812675246,378.4840445995511,373.5565083851302,374.3941955566406,5107774,374.3941955566406
2025-07-31,372.52174135154877,373.50724860380154,369.2695794492325,370.8956604003906,6461803,370.8956604003906
2025-08-01,369.5652084862626,375.62607189037857,365.3275394590709,367.1014404296875,13769152,367.1014404296875
2025-08-04,367.0522008905103,373.2608847654007,364.83480949586436,369.26959228515625,19756930,369.26959228515625
2025-08-05,370.5507246376812,375.18262072576994,369.07246376811594,374.0,6846687,374.0
2025-08-06,374.0,378.04998779296875,373.54998779296875,376.8500061035156,5808208,376.8500061035156
2025-08-07,375.0,380.25,373.6000061035156,379.54998779296875,3468573,379.54998779296875
2025-08-08,379.0,382.1000061035156,378.1499938964844,379.70001220703125,4172600,379.70001220703125
2025-08-11,378.0,384.70001220703125,376.54998779296875,382.5,5740719,382.5
2025-08-12,381.54998779296875,386.45001220703125,381.20001220703125,385.3500061035156,4860757,385.3500061035156
2025-08-13,385.95001220703125,388.0,385.1000061035156,386.1000061035156,4216888,386.1000061035156
2025-08-14,386.1000061035156,386.8500061035156,382.54998779296875,384.45001220703125,4034887,384.45001220703125
