Price,Open,High,Low,Close,Volume,Adj Close
Ticker,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,
Date,,,,,,
2025-07-04,263.12445590604955,266.1646626015579,262.3398999525144,264.8406982421875,7141779,264.8406982421875
2025-07-07,264.84067308909005,265.3310279957011,262.14372110272905,262.5850524902344,4849218,262.5850524902344
2025-07-08,262.63407563771915,265.0858501673054,262.19277417972665,264.4483947753906,5519016,264.4483947753906
2025-07-09,262.83024818609573,264.2032360341256,259.7410180458059,262.63409423828125,11564433,262.63409423828125
2025-07-10,262.3889084142334,262.3889084142334,258.0737910597105,259.9371337890625,6911031,259.9371337890625
2025-07-11,255.96526554783838,256.9949988974523,252.7779586013615,253.3173370361328,13109857,253.3173370361328
2025-07-14,253.31733708256158,254.54322436989276,246.7956226997374,249.34547424316406,10388421,249.34547424316406
2025-07-15,249.1003001606619,254.8374587288802,247.92345134176819,252.43470764160156,8750149,252.43470764160156
2025-07-16,252.43470272113854,258.9073935455552,251.11073847291195,257.73052978515625,12179338,257.73052978515625
2025-07-17,258.76030512361547,259.2506600584986,253.02314639970461,255.572998046875,7484171,255.572998046875
2025-07-18,263.41867185952486,266.65500239498084,260.476542307696,261.8005065917969,30319126,261.8005065917969
2025-07-21,261.80051093130925,261.99663494734835,254.2000094631014,255.32781982421875,12190000,255.32781982421875
2025-07-22,256.6517730425497,257.0930745062403,253.7586670887266,254.6903533935547,6724044,254.6903533935547
2025-07-23,255.2297336249665,256.7007983720845,253.1702369932236,256.3575439453125,6510321,256.3575439453125
2025-07-24,256.94598965700624,258.31897750908996,255.2297473596789,256.79888916015625,8139900,256.79888916015625
2025-07-25,256.74983394529335,256.9950114146563,251.11075214994622,254.20001220703125,8427780,254.20001220703125
2025-07-28,254.0,254.0,249.0,250.0500030517578,8998911,250.0500030517578
2025-07-29,249.1999969482422,252.6999969482422,247.25,251.8000030517578,12923128,251.8000030517578
2025-07-30,251.4499969482422,252.5,249.1999969482422,250.1999969482422,6057152,250.1999969482422
2025-07-31,248.10000610351562,250.14999389648438,246.0500030517578,248.3000030517578,7338764,248.3000030517578
2025-08-01,246.5,246.89999389648438,242.1999969482422,242.75,7436999,242.75
2025-08-04,242.75,246.4199981689453,241.10000610351562,246.0500030517578,5234393,246.0500030517578
2025-08-05,246.0500030517578,246.9499969482422,244.52999877929688,245.91000366210938,7383968,245.91000366210938
2025-08-06,246.0,246.0,239.30999755859375,239.9600067138672,7700190,239.9600067138672
2025-08-07,239.11000061035156,243.17999267578125,238.61000061035156,242.32000732421875,6190830,242.32000732421875
2025-08-08,242.39999389648438,243.25,238.39999389648438,239.0500030517578,8922847,239.0500030517578
2025-08-11,239.0500030517578,244.75,238.6199951171875,241.6199951171875,3047287,241.6199951171875
2025-08-12,242.6999969482422,246.2899932861328,241.10000610351562,241.72000122070312,8101435,241.72000122070312
2025-08-13,242.88999938964844,242.88999938964844,240.1199951171875,241.64999389648438,5820844,241.64999389648438
2025-08-14,243.10000610351562,248.42999267578125,242.41000366210938,246.80999755859375,12857225,246.80999755859375
