Date,Close,High,Low,Open,Volume
,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
2025-07-04,294.0,295.1499938964844,291.6499938964844,293.70001220703125,14193884
2025-07-07,295.8999938964844,296.6499938964844,293.5,294.70001220703125,6220756
2025-07-08,297.75,298.3999938964844,293.04998779296875,294.1499938964844,6254288
2025-07-09,299.6499938964844,300.0,296.3999938964844,298.25,5650646
2025-07-10,299.25,302.70001220703125,298.0,300.0,9307817
2025-07-11,298.54998779296875,300.8999938964844,296.95001220703125,299.25,7073217
2025-07-14,298.20001220703125,300.45001220703125,297.45001220703125,299.5,5484223
2025-07-15,298.04998779296875,300.0,296.8500061035156,298.1000061035156,6173407
2025-07-16,297.04998779296875,298.95001220703125,295.70001220703125,298.95001220703125,8144630
2025-07-17,296.6000061035156,298.20001220703125,295.79998779296875,297.54998779296875,8318287
2025-07-18,294.1499938964844,301.5,293.5,296.5,8702106
2025-07-21,297.0,297.25,292.25,294.0,5298012
2025-07-22,297.79998779296875,298.8500061035156,294.54998779296875,297.1000061035156,7775653
2025-07-23,299.25,299.6499938964844,297.1000061035156,298.8500061035156,5310964
2025-07-24,299.3500061035156,301.3500061035156,296.5,299.8500061035156,6294709
2025-07-25,292.1000061035156,297.75,290.8999938964844,297.1499938964844,8202572
2025-07-28,291.8999938964844,295.25,290.75,292.0,7037396
2025-07-29,293.1000061035156,293.8999938964844,289.79998779296875,290.5,6586034
2025-07-30,288.95001220703125,296.5,286.6000061035156,293.0,10515572
2025-07-31,291.0,294.29998779296875,284.95001220703125,284.95001220703125,14283621
2025-08-01,291.25,292.79998779296875,286.29998779296875,291.6499938964844,6697683
2025-08-04,287.95001220703125,291.54998779296875,285.70001220703125,291.20001220703125,10397121
2025-08-05,286.0,288.6499938964844,285.1000061035156,287.1000061035156,15561914
2025-08-06,284.79998779296875,288.3999938964844,284.04998779296875,287.6000061035156,12985269
